Capacidad,Costo,Coordenadas,Emision
14,1066,"[103, 516]",40
4,1457,"[517, 164]",57
26,1210,"[574, 322]",21
28,2719,"[330, 477]",37
16,1263,"[378, 5]",32
4,1436,"[468, 33]",63
30,1166,"[527, 85]",53
9,2200,"[414, 405]",37
32,3069,"[329, 441]",32
19,1855,"[493, 178]",68
17,1367,"[302, 566]",69
18,1295,"[262, 534]",34
27,1242,"[553, 486]",39
12,3153,"[381, 277]",50
26,1031,"[51, 240]",32
17,1119,"[99, 336]",34
5,1100,"[13, 346]",60
2,1456,"[92, 219]",27
29,1488,"[461, 75]",28
32,1357,"[73, 518]",65
3,1896,"[167, 130]",35
14,1497,"[216, 87]",53
5,2690,"[123, 210]",35
6,1309,"[43, 133]",35
34,2521,"[462, 138]",31
18,2970,"[201, 266]",59
31,1217,"[175, 556]",62
5,1024,"[5, 485]",63
15,1277,"[520, 165]",34
12,1572,"[404, 325]",45
12,1378,"[540, 164]",22
22,1477,"[195, 31]",63
15,2602,"[159, 234]",48
4,1411,"[517, 42]",48
34,2378,"[160, 405]",70
31,1346,"[331, 48]",52
31,1383,"[317, 501]",56
19,1266,"[588, 555]",40
13,2426,"[432, 310]",67
25,1928,"[227, 121]",45
5,2975,"[434, 439]",39
