Coordenadas
"[297, 311]"
"[277, 252]"
"[370, 249]"
"[298, 267]"
"[310, 247]"
"[245, 363]"
"[243, 240]"
"[286, 326]"
"[352, 264]"
"[257, 311]"
"[326, 351]"
"[363, 329]"
"[232, 317]"
"[362, 241]"
"[265, 329]"
"[238, 242]"
"[358, 301]"
"[227, 338]"
"[243, 345]"
"[268, 292]"
"[241, 362]"
"[247, 297]"
"[368, 258]"
"[239, 298]"
"[336, 243]"
"[332, 264]"
"[342, 312]"
"[326, 235]"
"[320, 287]"
"[284, 325]"
"[289, 287]"
"[230, 266]"
"[320, 304]"
"[322, 250]"
"[303, 231]"
"[289, 281]"
"[247, 359]"
"[293, 284]"
"[231, 322]"
"[291, 270]"
"[232, 247]"
"[328, 361]"
"[350, 308]"
"[338, 373]"
"[329, 346]"
"[260, 241]"
"[277, 361]"
"[259, 322]"
"[246, 291]"
"[277, 284]"
"[296, 355]"
"[317, 227]"
"[254, 229]"
"[351, 302]"
"[274, 368]"
"[334, 308]"
"[253, 270]"
"[336, 280]"
"[290, 261]"
"[269, 245]"
"[261, 317]"
"[366, 283]"
"[365, 363]"
"[350, 354]"
"[312, 302]"
"[331, 323]"
"[307, 284]"
"[325, 245]"
"[294, 335]"
