Capacidad,Costo,Coordenadas,Emision
42,1276,"[553, 452]",27
49,1591,"[201, 358]",36
25,3493,"[351, 154]",39
21,1370,"[518, 440]",36
10,2232,"[218, 145]",33
35,2065,"[360, 139]",21
20,1230,"[306, 90]",48
46,3201,"[493, 228]",69
15,1259,"[451, 533]",54
2,1279,"[74, 133]",45
22,2891,"[437, 498]",48
3,1873,"[219, 203]",40
3,1093,"[256, 541]",51
39,1259,"[526, 59]",33
18,1332,"[546, 230]",54
24,1052,"[26, 387]",70
27,2446,"[178, 330]",20
35,1028,"[48, 110]",68
5,1297,"[507, 83]",31
23,3280,"[244, 486]",42
22,1000,"[598, 406]",23
23,1170,"[506, 88]",20
48,1645,"[379, 308]",63
12,1122,"[57, 393]",41
41,1666,"[472, 158]",29
31,2836,"[283, 490]",41
45,3512,"[356, 126]",27
42,2815,"[495, 342]",60
43,1375,"[559, 37]",50
43,3904,"[220, 328]",41
19,3980,"[457, 149]",67
13,1790,"[367, 401]",44
15,2817,"[316, 497]",53
15,3544,"[220, 438]",59
5,1065,"[226, 4]",47
35,1116,"[46, 261]",67
2,1100,"[564, 157]",20
6,3209,"[423, 157]",50
33,2395,"[495, 309]",27
38,3973,"[331, 141]",26
8,1212,"[340, 83]",25
25,1209,"[145, 520]",46
39,1438,"[45, 199]",60
2,1328,"[401, 569]",40
3,1478,"[317, 555]",67
30,3421,"[124, 404]",63
33,1500,"[469, 485]",38
47,1295,"[12, 232]",32
36,1533,"[450, 168]",30
33,1667,"[457, 344]",28
39,1234,"[519, 96]",51
20,1387,"[64, 433]",59
3,2944,"[394, 148]",53
24,3313,"[181, 381]",43
15,1473,"[42, 179]",58
25,1298,"[185, 500]",66
18,1157,"[597, 473]",33
28,1044,"[83, 233]",55
47,2780,"[463, 106]",27
