Capacidad,Costo,Coordenadas,Emision
78,1455,"[546, 225]",29
84,2664,"[139, 199]",41
57,1047,"[20, 200]",24
7,1195,"[55, 540]",35
60,1349,"[207, 82]",63
44,1432,"[574, 161]",65
7,1162,"[452, 76]",45
25,1080,"[568, 568]",45
59,1082,"[18, 254]",61
33,3601,"[133, 354]",31
5,1025,"[539, 91]",62
41,2792,"[300, 375]",21
49,1246,"[42, 386]",55
48,2210,"[284, 404]",27
46,3700,"[422, 128]",70
10,1068,"[480, 594]",30
82,2902,"[415, 219]",58
25,3874,"[178, 379]",34
63,1283,"[51, 470]",37
4,1132,"[59, 408]",28
49,3670,"[187, 407]",70
10,1254,"[117, 508]",41
83,3502,"[213, 249]",43
84,2501,"[415, 306]",37
23,1518,"[125, 362]",31
56,1012,"[37, 152]",47
66,1047,"[113, 547]",40
30,1164,"[401, 516]",63
5,1341,"[418, 577]",36
9,1137,"[27, 268]",44
17,3437,"[212, 271]",49
39,1386,"[548, 88]",50
7,2721,"[111, 329]",44
12,2700,"[493, 367]",50
64,1266,"[48, 214]",54
72,1260,"[490, 91]",55
80,1388,"[533, 320]",44
57,1248,"[562, 581]",26
48,1193,"[599, 329]",64
11,1495,"[74, 482]",47
84,1254,"[434, 57]",60
6,2754,"[238, 178]",20
22,1277,"[461, 82]",54
72,2286,"[434, 369]",65
37,1197,"[360, 58]",44
61,3839,"[459, 186]",20
55,1350,"[573, 12]",70
32,1111,"[32, 81]",56
45,2015,"[154, 276]",48
19,1164,"[26, 445]",51
62,1412,"[184, 29]",37
28,1967,"[371, 216]",41
69,3418,"[351, 207]",52
82,1053,"[85, 21]",52
11,3074,"[190, 463]",55
60,1965,"[150, 450]",63
42,1416,"[523, 572]",65
18,2965,"[477, 421]",57
24,1695,"[389, 424]",20
57,3151,"[455, 251]",49
15,1122,"[553, 492]",23
33,1957,"[280, 132]",21
4,1442,"[228, 525]",65
34,3335,"[392, 103]",67
21,1077,"[337, 6]",68
50,1287,"[60, 443]",60
40,1919,"[164, 155]",41
38,2629,"[461, 145]",32
8,1048,"[87, 283]",69
11,1106,"[383, 542]",27
70,3116,"[464, 346]",22
60,1320,"[77, 235]",53
68,1028,"[597, 450]",65
39,3529,"[195, 466]",47
7,2904,"[199, 199]",46
48,2370,"[103, 402]",29
23,1250,"[330, 33]",27
9,3227,"[111, 244]",70
57,1200,"[106, 530]",39
3,1461,"[42, 458]",42
69,1136,"[557, 316]",54
25,2681,"[403, 327]",39
74,1499,"[64, 230]",37
65,1903,"[137, 211]",70
77,1240,"[31, 55]",39
73,1088,"[62, 423]",50
16,1412,"[592, 537]",54
25,3482,"[141, 341]",35
83,3062,"[447, 320]",47
60,1114,"[501, 466]",31
49,1215,"[72, 223]",34
46,3371,"[240, 465]",54
38,3695,"[495, 192]",41
76,1218,"[534, 443]",52
