Capacidad,Costo,Coordenadas,Emision
13,3639,"[164, 182]",25
6,1123,"[168, 501]",28
35,3967,"[198, 286]",29
12,2000,"[418, 359]",20
4,3901,"[201, 168]",55
52,3176,"[329, 174]",53
16,2111,"[330, 426]",48
51,1422,"[519, 321]",34
22,2777,"[415, 357]",70
26,3773,"[361, 428]",61
8,1080,"[299, 7]",47
16,3958,"[370, 435]",69
14,1002,"[124, 567]",54
51,1419,"[571, 595]",25
70,1604,"[179, 274]",53
26,2625,"[358, 446]",29
12,2434,"[373, 461]",23
56,2326,"[304, 418]",37
25,1435,"[85, 491]",45
30,1045,"[134, 66]",68
72,1079,"[587, 73]",53
57,1108,"[41, 189]",61
49,1261,"[62, 263]",57
30,3466,"[476, 220]",31
47,1440,"[435, 557]",51
25,1771,"[197, 197]",67
65,2607,"[251, 134]",51
43,3036,"[193, 170]",63
38,4000,"[214, 310]",50
52,1067,"[42, 254]",55
49,1459,"[143, 564]",58
22,1609,"[363, 193]",32
51,1236,"[538, 279]",48
36,2696,"[400, 202]",35
70,1115,"[84, 58]",20
14,1469,"[32, 264]",30
19,1162,"[7, 504]",70
20,1162,"[40, 496]",30
39,1278,"[0, 9]",42
14,2414,"[125, 425]",22
71,3448,"[418, 366]",68
59,1460,"[549, 191]",45
36,3388,"[384, 176]",31
56,1050,"[575, 321]",54
66,1059,"[532, 323]",54
68,1204,"[561, 578]",52
31,1133,"[255, 36]",25
58,1286,"[332, 78]",22
31,2039,"[191, 254]",33
8,1094,"[325, 590]",29
30,1491,"[33, 585]",49
48,2303,"[428, 247]",37
4,1098,"[206, 599]",31
41,3613,"[229, 179]",69
69,1481,"[344, 18]",57
10,1447,"[150, 61]",43
13,2216,"[443, 440]",24
72,2626,"[200, 118]",67
22,1173,"[15, 497]",60
72,1271,"[563, 421]",22
30,3898,"[489, 397]",41
6,1089,"[324, 54]",38
67,1090,"[106, 14]",64
54,1429,"[566, 566]",25
16,1369,"[530, 476]",30
35,1345,"[40, 389]",29
68,1379,"[594, 268]",38
31,2744,"[397, 140]",57
66,2833,"[299, 110]",43
6,1967,"[452, 338]",22
66,1158,"[68, 383]",22
23,1017,"[81, 527]",46
34,2459,"[266, 450]",56
32,3064,"[456, 269]",58
29,1331,"[520, 551]",48
51,1286,"[15, 141]",46
46,1295,"[565, 53]",38
50,1397,"[64, 413]",55
72,1732,"[290, 118]",29
16,1262,"[321, 512]",67
46,1132,"[73, 599]",66
58,3123,"[303, 137]",64
47,3859,"[474, 140]",54
11,1286,"[46, 328]",64
37,2715,"[414, 103]",70
22,1236,"[328, 508]",62
32,1342,"[67, 30]",36
50,2887,"[382, 257]",40
60,3041,"[443, 309]",69
