Coordenadas
"[239, 254]"
"[236, 289]"
"[273, 232]"
"[307, 339]"
"[230, 356]"
"[358, 270]"
"[337, 293]"
"[257, 367]"
"[356, 316]"
"[233, 256]"
"[241, 308]"
"[266, 277]"
"[370, 363]"
"[273, 338]"
"[304, 305]"
"[355, 338]"
"[264, 288]"
"[300, 250]"
"[369, 257]"
"[282, 358]"
"[311, 233]"
"[255, 312]"
"[287, 270]"
"[352, 226]"
"[267, 285]"
"[307, 310]"
"[318, 296]"
"[264, 329]"
"[258, 256]"
"[321, 350]"
"[314, 369]"
"[338, 369]"
"[262, 292]"
"[291, 251]"
"[365, 291]"
"[294, 372]"
"[229, 257]"
"[334, 347]"
"[321, 293]"
"[374, 300]"
"[304, 328]"
"[324, 371]"
"[315, 282]"
"[239, 319]"
"[232, 263]"
"[313, 305]"
"[295, 283]"
"[279, 338]"
"[371, 303]"
"[273, 362]"
"[284, 252]"
"[301, 294]"
"[241, 261]"
"[314, 229]"
"[275, 347]"
"[240, 245]"
"[366, 282]"
"[237, 356]"
"[231, 365]"
"[361, 357]"
"[276, 296]"
"[273, 236]"
"[230, 273]"
"[256, 303]"
"[365, 359]"
"[338, 244]"
"[268, 243]"
"[313, 365]"
"[356, 241]"
"[353, 315]"
"[337, 298]"
"[337, 225]"
"[258, 296]"
"[341, 253]"
"[351, 360]"
"[247, 256]"
"[355, 329]"
"[239, 356]"
"[357, 262]"
"[320, 313]"
"[252, 287]"
"[359, 269]"
"[274, 306]"
"[325, 237]"
"[258, 364]"
"[227, 299]"
"[279, 318]"
"[312, 320]"
"[363, 342]"
"[312, 294]"
"[297, 248]"
"[327, 283]"
"[374, 244]"
"[298, 284]"
"[285, 354]"
"[322, 362]"
"[263, 332]"
"[296, 365]"
"[273, 312]"
"[341, 295]"
"[325, 225]"
"[260, 316]"
"[316, 283]"
"[278, 263]"
"[288, 225]"
"[232, 290]"
"[278, 322]"
"[303, 315]"
"[302, 317]"
"[238, 355]"
"[250, 264]"
"[341, 361]"
"[349, 271]"
"[313, 246]"
"[290, 370]"
"[279, 236]"
"[313, 290]"
"[302, 316]"
"[337, 361]"
"[273, 238]"
"[333, 228]"
"[233, 250]"
"[328, 227]"
"[287, 278]"
"[288, 352]"
"[355, 299]"
"[331, 236]"
"[301, 345]"
"[257, 227]"
"[240, 309]"
"[250, 229]"
"[309, 363]"
"[303, 325]"
"[341, 228]"
"[361, 283]"
"[346, 281]"
"[250, 244]"
"[366, 282]"
"[276, 225]"
"[278, 356]"
"[310, 352]"
"[365, 325]"
"[336, 239]"
"[297, 359]"
"[366, 278]"
"[348, 284]"
"[327, 278]"
