Capacidad,Costo,Coordenadas,Emision
11,3270,"[433, 208]",53
9,1367,"[265, 509]",34
6,3044,"[380, 185]",43
15,1187,"[291, 592]",21
15,3728,"[439, 323]",40
17,1486,"[64, 316]",22
13,1458,"[273, 79]",69
9,1381,"[57, 279]",52
15,1182,"[536, 578]",33
5,1098,"[59, 225]",20
7,1332,"[547, 491]",57
12,1398,"[519, 226]",38
8,1206,"[9, 208]",66
2,1485,"[206, 567]",26
5,1093,"[178, 590]",41
9,1478,"[128, 538]",29
19,1191,"[495, 49]",44
22,1413,"[536, 91]",27
10,3574,"[138, 311]",68
6,3932,"[213, 414]",57
20,1438,"[555, 115]",41
18,2258,"[452, 180]",34
3,1431,"[583, 355]",60
21,1226,"[561, 517]",66
8,3627,"[241, 476]",38
