Coordenadas
"[314, 320]"
"[306, 348]"
"[312, 295]"
"[240, 253]"
"[264, 342]"
"[286, 331]"
"[240, 322]"
"[302, 281]"
"[243, 239]"
"[229, 268]"
"[334, 337]"
"[356, 324]"
"[298, 286]"
"[226, 353]"
"[364, 314]"
"[243, 254]"
"[316, 281]"
"[267, 231]"
"[300, 349]"
"[341, 249]"
"[260, 277]"
"[312, 270]"
"[250, 338]"
"[279, 318]"
"[368, 354]"
"[243, 239]"
"[289, 331]"
"[300, 289]"
"[342, 335]"
"[281, 231]"
"[244, 337]"
"[237, 351]"
"[372, 236]"
"[364, 281]"
"[275, 261]"
"[291, 286]"
"[374, 270]"
"[315, 344]"
"[266, 372]"
"[260, 303]"
"[229, 283]"
"[285, 300]"
"[249, 326]"
"[330, 324]"
