Coordenadas
"[279, 369]"
"[318, 354]"
"[354, 338]"
"[249, 266]"
"[367, 295]"
"[346, 344]"
"[298, 272]"
"[365, 304]"
"[261, 321]"
"[374, 256]"
"[245, 330]"
"[337, 309]"
"[245, 369]"
"[247, 330]"
"[229, 363]"
"[247, 252]"
"[255, 248]"
"[329, 253]"
"[294, 330]"
"[277, 264]"
"[322, 243]"
"[242, 352]"
"[320, 245]"
"[229, 306]"
"[316, 249]"
"[268, 263]"
"[320, 359]"
"[255, 372]"
"[316, 308]"
"[354, 271]"
"[370, 314]"
"[235, 328]"
"[362, 344]"
"[238, 369]"
"[329, 232]"
"[372, 351]"
"[326, 348]"
"[310, 232]"
"[349, 237]"
"[329, 306]"
"[260, 272]"
"[300, 274]"
"[341, 239]"
"[264, 355]"
"[370, 234]"
"[342, 248]"
"[268, 259]"
"[282, 350]"
"[233, 282]"
"[371, 324]"
"[252, 280]"
"[333, 331]"
"[241, 267]"
"[365, 307]"
"[300, 287]"
"[259, 304]"
"[315, 243]"
"[370, 353]"
"[252, 337]"
"[360, 324]"
"[237, 317]"
"[335, 343]"
"[235, 339]"
"[231, 359]"
"[352, 338]"
"[308, 239]"
"[312, 325]"
"[316, 300]"
"[238, 343]"
"[317, 288]"
"[312, 258]"
"[344, 334]"
"[289, 310]"
"[372, 335]"
"[269, 331]"
"[277, 316]"
"[295, 281]"
"[363, 317]"
"[279, 269]"
"[289, 271]"
"[272, 364]"
"[310, 250]"
"[367, 234]"
"[266, 245]"
"[267, 365]"
"[277, 258]"
"[368, 243]"
"[252, 368]"
"[247, 368]"
"[280, 293]"
"[326, 316]"
"[265, 318]"
"[280, 300]"
"[335, 264]"
"[300, 313]"
"[255, 274]"
"[364, 242]"
"[251, 303]"
"[314, 235]"
"[317, 372]"
"[275, 323]"
"[301, 333]"
"[232, 326]"
"[241, 301]"
"[291, 326]"
"[363, 317]"
"[252, 240]"
"[343, 245]"
"[323, 277]"
"[307, 342]"
"[280, 325]"
"[293, 233]"
"[236, 283]"
"[249, 317]"
"[341, 280]"
"[293, 371]"
"[241, 354]"
"[232, 282]"
"[371, 234]"
"[284, 292]"
"[290, 374]"
"[302, 257]"
"[340, 368]"
"[339, 281]"
"[327, 249]"
"[278, 348]"
"[261, 264]"
"[357, 247]"
"[340, 252]"
"[327, 340]"
"[305, 300]"
"[288, 234]"
"[244, 325]"
"[282, 232]"
"[283, 236]"
"[233, 365]"
"[314, 236]"
"[236, 367]"
"[256, 338]"
"[347, 303]"
"[330, 226]"
"[291, 325]"
"[257, 359]"
"[324, 313]"
"[280, 333]"
"[351, 239]"
"[294, 270]"
"[327, 278]"
"[290, 370]"
"[245, 341]"
"[255, 267]"
"[370, 349]"
"[368, 292]"
"[351, 364]"
"[328, 252]"
"[290, 239]"
"[263, 246]"
"[272, 337]"
"[368, 300]"
"[306, 365]"
"[293, 240]"
"[251, 327]"
"[369, 225]"
"[304, 233]"
"[326, 323]"
"[285, 307]"
"[232, 257]"
"[272, 276]"
"[342, 306]"
"[240, 296]"
"[270, 366]"
"[244, 260]"
"[352, 270]"
"[324, 316]"
"[346, 330]"
"[329, 256]"
"[367, 345]"
"[338, 281]"
"[346, 311]"
"[256, 268]"
"[368, 374]"
"[248, 291]"
"[280, 319]"
"[227, 307]"
"[309, 373]"
"[370, 325]"
"[321, 308]"
"[280, 258]"
"[351, 293]"
"[273, 331]"
"[341, 277]"
"[256, 304]"
"[285, 290]"
"[311, 334]"
"[231, 276]"
"[274, 303]"
"[257, 327]"
"[351, 284]"
"[350, 278]"
"[290, 249]"
"[315, 371]"
"[337, 369]"
"[341, 248]"
"[296, 339]"
"[354, 234]"
"[268, 295]"
"[346, 325]"
"[335, 278]"
