Capacidad,Costo,Coordenadas,Emision
15,2616,"[473, 410]",54
29,1263,"[569, 82]",29
27,1139,"[88, 26]",68
28,1874,"[341, 142]",67
20,1059,"[159, 69]",25
27,1737,"[442, 222]",23
10,1436,"[189, 545]",27
25,1337,"[227, 29]",23
28,1218,"[537, 514]",65
4,3412,"[111, 241]",38
8,1206,"[63, 405]",40
6,3628,"[487, 139]",62
23,1325,"[225, 577]",42
18,1190,"[31, 43]",57
5,1277,"[41, 592]",22
15,1121,"[15, 18]",40
26,1127,"[406, 65]",50
28,1040,"[64, 14]",62
29,1344,"[567, 353]",58
12,2564,"[375, 102]",66
2,1404,"[535, 367]",69
18,1111,"[531, 568]",58
6,1745,"[164, 466]",50
24,1229,"[506, 538]",21
6,3058,"[487, 310]",51
15,1182,"[568, 446]",34
10,2080,"[274, 475]",69
19,1449,"[556, 275]",54
16,2155,"[346, 398]",48
22,2498,"[284, 448]",38
29,3647,"[436, 378]",52
19,1458,"[476, 585]",22
