Coordenadas
"[323, 272]"
"[254, 343]"
"[295, 281]"
"[248, 278]"
"[258, 342]"
"[372, 258]"
"[372, 302]"
"[355, 321]"
"[272, 270]"
"[371, 252]"
"[314, 327]"
"[308, 229]"
"[276, 263]"
"[312, 278]"
"[366, 342]"
"[240, 352]"
"[335, 263]"
"[294, 353]"
"[285, 263]"
"[307, 257]"
"[322, 284]"
"[246, 232]"
"[245, 292]"
"[231, 363]"
"[332, 261]"
"[300, 311]"
"[286, 338]"
"[254, 282]"
"[230, 308]"
"[282, 372]"
"[323, 295]"
"[251, 290]"
"[333, 372]"
"[239, 251]"
"[254, 260]"
"[303, 288]"
"[342, 249]"
"[275, 226]"
"[355, 371]"
"[242, 315]"
"[238, 248]"
"[339, 266]"
"[311, 227]"
"[233, 371]"
"[292, 315]"
"[257, 259]"
"[360, 353]"
"[302, 362]"
"[251, 315]"
"[267, 368]"
"[258, 317]"
"[352, 270]"
"[344, 268]"
"[368, 365]"
"[241, 241]"
"[289, 260]"
"[311, 242]"
"[248, 257]"
"[257, 362]"
