Capacidad,Costo,Coordenadas,Emision
2,1050,"[222, 77]",25
7,1460,"[169, 32]",51
5,1072,"[269, 532]",56
5,1910,"[419, 300]",49
9,2445,"[339, 412]",52
11,1085,"[269, 35]",43
3,3312,"[495, 300]",30
11,3320,"[215, 161]",51
5,2875,"[229, 115]",34
8,1055,"[427, 12]",37
15,1373,"[116, 24]",26
10,1411,"[585, 17]",27
13,1152,"[596, 501]",49
13,1483,"[29, 132]",62
10,1055,"[33, 571]",63
5,1128,"[458, 576]",38
5,1410,"[323, 538]",33
10,1006,"[362, 560]",20
10,3349,"[406, 401]",33
4,2314,"[226, 125]",27
