Coordenadas
"[249, 371]"
"[262, 315]"
"[355, 287]"
"[280, 243]"
"[309, 280]"
"[354, 323]"
"[266, 342]"
"[264, 320]"
"[246, 228]"
"[343, 299]"
"[297, 356]"
"[314, 374]"
"[366, 255]"
"[329, 322]"
"[325, 288]"
"[289, 328]"
"[349, 293]"
"[295, 365]"
"[331, 247]"
"[317, 339]"
"[304, 277]"
"[229, 291]"
"[247, 322]"
"[263, 281]"
"[334, 283]"
"[366, 284]"
"[337, 330]"
"[339, 372]"
"[266, 320]"
"[373, 248]"
"[373, 333]"
"[372, 305]"
"[297, 267]"
"[275, 285]"
"[311, 343]"
"[237, 312]"
"[265, 370]"
"[318, 278]"
"[291, 306]"
"[258, 357]"
"[310, 283]"
"[248, 269]"
"[355, 284]"
"[288, 247]"
"[284, 319]"
"[318, 302]"
"[264, 276]"
"[357, 335]"
"[301, 242]"
"[318, 256]"
"[266, 361]"
"[329, 335]"
"[369, 353]"
"[345, 352]"
"[263, 313]"
"[358, 355]"
"[287, 309]"
"[250, 326]"
"[289, 291]"
"[265, 374]"
"[244, 316]"
"[309, 249]"
"[269, 329]"
"[263, 305]"
"[354, 316]"
"[347, 327]"
"[329, 339]"
"[237, 275]"
"[307, 302]"
"[365, 245]"
"[225, 278]"
"[275, 317]"
"[308, 227]"
"[268, 269]"
"[366, 289]"
"[263, 301]"
"[228, 275]"
"[291, 254]"
"[265, 330]"
"[283, 278]"
"[348, 262]"
