Capacidad,Costo,Coordenadas,Emision
16,1205,"[37, 44]",69
28,1171,"[498, 69]",22
6,2898,"[252, 459]",38
23,1063,"[82, 19]",55
13,2340,"[460, 323]",21
23,1342,"[549, 113]",51
10,1402,"[540, 151]",35
19,1084,"[185, 75]",54
22,2606,"[241, 219]",70
28,3764,"[202, 434]",62
4,2484,"[390, 431]",43
29,1129,"[3, 407]",54
7,1060,"[483, 541]",36
3,1490,"[247, 1]",61
11,1282,"[16, 567]",27
5,1563,"[209, 193]",51
7,1231,"[567, 23]",47
37,3701,"[472, 194]",24
25,2811,"[210, 188]",23
17,3186,"[283, 498]",26
10,3952,"[362, 167]",51
40,1343,"[20, 161]",59
24,1443,"[97, 306]",39
2,3436,"[105, 401]",44
32,1409,"[132, 569]",50
6,1337,"[557, 263]",41
38,1020,"[498, 517]",64
12,1322,"[352, 22]",42
21,2783,"[311, 421]",66
11,1250,"[148, 523]",30
38,1341,"[83, 410]",59
19,1714,"[460, 218]",43
38,1024,"[47, 505]",43
6,2731,"[123, 230]",26
5,2824,"[137, 359]",55
27,1179,"[380, 517]",55
20,3891,"[145, 307]",54
8,3962,"[127, 487]",61
10,2204,"[126, 354]",70
2,1496,"[596, 517]",33
24,2353,"[367, 460]",52
29,1352,"[338, 34]",62
27,2221,"[183, 265]",58
32,1199,"[426, 31]",49
5,1787,"[412, 163]",31
10,1207,"[462, 509]",68
22,1224,"[75, 301]",38
26,3118,"[162, 457]",30
39,1242,"[428, 33]",68
31,2287,"[193, 493]",59
