Capacidad,Costo,Coordenadas,Emision
89,1818,"[492, 452]",35
6,1021,"[310, 33]",55
61,1052,"[94, 385]",60
56,1049,"[581, 364]",30
101,3811,"[222, 371]",68
70,1008,"[452, 77]",41
28,2973,"[429, 436]",44
62,1222,"[527, 572]",55
39,1053,"[458, 25]",30
80,1487,"[335, 42]",65
20,1027,"[482, 596]",50
45,1164,"[15, 417]",30
47,2871,"[319, 162]",48
7,1048,"[231, 13]",66
83,3897,"[416, 276]",35
44,1182,"[467, 9]",67
92,2731,"[383, 382]",20
66,1039,"[370, 568]",69
10,1271,"[369, 98]",66
84,1941,"[422, 113]",34
72,3745,"[142, 272]",42
56,3842,"[462, 138]",47
25,3063,"[189, 257]",62
39,1728,"[204, 228]",61
81,1452,"[529, 68]",51
52,1277,"[73, 575]",24
99,1230,"[278, 586]",69
46,3669,"[453, 338]",60
72,1387,"[450, 583]",50
95,3102,"[141, 455]",25
45,1303,"[455, 18]",27
87,1418,"[187, 32]",30
9,3339,"[138, 295]",41
99,1565,"[134, 390]",55
84,1458,"[152, 98]",45
10,1072,"[527, 315]",29
39,2160,"[168, 492]",43
19,2379,"[249, 123]",51
41,1097,"[282, 10]",51
95,1139,"[516, 259]",50
3,1977,"[328, 395]",36
40,1469,"[219, 521]",63
51,2200,"[194, 398]",66
35,1629,"[144, 487]",53
100,2881,"[347, 464]",49
56,2067,"[219, 213]",61
84,1454,"[76, 159]",54
30,1233,"[186, 74]",25
87,1495,"[71, 396]",66
50,1177,"[455, 47]",67
41,1226,"[512, 87]",42
10,1208,"[511, 231]",62
10,1257,"[122, 511]",29
97,1329,"[92, 208]",22
97,2270,"[482, 204]",26
74,1133,"[40, 94]",23
45,3860,"[474, 263]",27
26,1460,"[408, 585]",57
25,1300,"[269, 42]",38
3,1016,"[381, 574]",37
90,1870,"[270, 473]",24
42,1036,"[187, 94]",28
58,1045,"[78, 503]",44
49,1407,"[400, 548]",39
39,1122,"[526, 244]",56
42,2636,"[100, 434]",20
14,3385,"[369, 465]",50
40,1164,"[590, 20]",54
2,1256,"[225, 77]",28
41,1034,"[341, 59]",25
85,1361,"[22, 408]",60
65,3300,"[111, 202]",45
45,1290,"[67, 415]",36
23,3077,"[378, 221]",67
19,2281,"[145, 170]",62
17,1388,"[284, 541]",57
42,1413,"[43, 0]",63
20,1120,"[536, 36]",21
73,1194,"[162, 540]",60
92,1124,"[561, 207]",61
36,1108,"[555, 361]",34
82,1310,"[251, 46]",51
56,1477,"[336, 562]",55
55,1424,"[210, 551]",24
27,1184,"[567, 512]",66
83,1279,"[313, 23]",38
16,1628,"[451, 410]",64
46,1170,"[537, 140]",30
30,3209,"[161, 105]",48
97,1098,"[65, 397]",68
98,2715,"[123, 288]",39
57,2213,"[118, 389]",28
57,2990,"[379, 253]",46
76,1352,"[89, 547]",56
44,1128,"[183, 20]",30
22,2607,"[118, 224]",32
32,2925,"[172, 390]",43
39,2739,"[318, 415]",38
88,1024,"[93, 500]",49
29,1243,"[53, 245]",40
87,1334,"[511, 134]",34
13,2183,"[122, 197]",31
47,1441,"[54, 69]",22
15,1200,"[2, 328]",37
17,2437,"[102, 381]",63
